Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bus_stop contribution,car_out_density contribution,cctv_car contribution,cctv_child contribution,hospital_log contribution,intersection_fourway contribution,intersection_single contribution,intersection_threeway contribution,led_density contribution,market_kde_density_log_weighted contribution,senior_facility contribution,silverzone contribution,streetlight contribution,bus_stop permutation importance,car_out_density permutation importance,cctv_car permutation importance,cctv_child permutation importance,hospital_log permutation importance,intersection_fourway permutation importance,intersection_single permutation importance,intersection_threeway permutation importance,led_density permutation importance,market_kde_density_log_weighted permutation importance,senior_facility permutation importance,silverzone permutation importance,streetlight permutation importance,Training gain without bus_stop,Training gain without car_out_density,Training gain without cctv_car,Training gain without cctv_child,Training gain without hospital_log,Training gain without intersection_fourway,Training gain without intersection_single,Training gain without intersection_threeway,Training gain without led_density,Training gain without market_kde_density_log_weighted,Training gain without senior_facility,Training gain without silverzone,Training gain without streetlight,Training gain with only bus_stop,Training gain with only car_out_density,Training gain with only cctv_car,Training gain with only cctv_child,Training gain with only hospital_log,Training gain with only intersection_fourway,Training gain with only intersection_single,Training gain with only intersection_threeway,Training gain with only led_density,Training gain with only market_kde_density_log_weighted,Training gain with only senior_facility,Training gain with only silverzone,Training gain with only streetlight,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
accident_0,55,0.6311,0.7810,140,0.7923,400,6.3240,18.0845,15.6692,1.1839,23.1095,7.1956,12.7076,3.8543,1.2364,5.6343,2.7351,0.0596,2.2060,0.0000,8.4646,25.9802,0.0000,2.6261,2.7483,29.2781,1.2703,3.8231,18.3950,0.0244,0.0733,7.3165,0.6308,0.6212,0.5481,0.6240,0.6240,0.5901,0.5393,0.6148,0.6231,0.5894,0.6214,0.6308,0.6134,0.1995,0.2218,0.1787,0.0007,0.3539,0.1680,0.2192,0.0121,0.0177,0.0842,0.0961,0.0009,0.0216,5.3605,0.3129,1.0000,0.1224,0.9350,0.0182,5.0000,0.1703,0.8075,0.0727,10.0000,0.1773,0.6675,0.1091,0.5121,0.0994,0.9575,0.0000,7.7910,0.1721,0.7300,0.0727,30.9780,0.3718,0.2575,0.2545,30.9780,0.3718,0.2575,0.2545,0.5121,0.0994,0.9575,0.0000,15.3958,0.1987,0.5300,0.1091
accident_1,55,0.7024,0.9515,180,0.8784,400,1.9464,0.1760,2.8471,3.0931,55.8769,7.2669,1.2123,2.1207,5.1237,4.1531,0.7812,15.4002,0.0026,7.1224,0.0000,6.0770,3.8433,42.5241,3.9937,2.3691,4.7157,5.0391,12.2217,1.3839,10.7100,0.0000,0.6784,0.6997,0.6808,0.6715,0.6280,0.6838,0.6954,0.6927,0.6807,0.6750,0.6954,0.6286,0.7023,0.1702,0.1185,0.1119,0.0007,0.4632,0.1838,0.1311,0.0049,0.1816,0.1211,0.0801,0.1635,0.0024,5.2888,0.2904,1.0000,0.0931,0.9475,0.0000,5.0000,0.1624,0.7900,0.0182,10.0000,0.1752,0.6600,0.0182,3.8447,0.1337,0.8275,0.0000,24.6895,0.2379,0.3250,0.0727,40.3102,0.5405,0.1625,0.1636,40.7038,0.5415,0.1600,0.1636,3.8447,0.1337,0.8275,0.0000,16.7111,0.1905,0.4950,0.0182
accident_2,55,0.5758,0.7812,220,0.8218,400,4.5353,19.4406,11.6203,0.3909,11.2116,1.9030,12.6495,3.4396,0.3696,29.0054,0.4959,0.0000,4.9382,8.5242,10.0089,4.3828,2.1109,0.5009,0.8408,18.9356,4.0519,0.5993,36.9589,0.7692,0.0000,12.3166,0.5393,0.5520,0.5178,0.5720,0.5752,0.5636,0.4919,0.5600,0.5741,0.4679,0.5687,0.5758,0.5420,0.1151,0.1754,0.1327,0.0003,0.2244,0.0716,0.1664,0.0121,0.0753,0.2019,0.0500,0.0093,0.0380,5.4156,0.3342,1.0000,0.1342,0.9200,0.0000,5.0000,0.1427,0.7675,0.0000,10.0000,0.1987,0.6125,0.0364,5.2421,0.1429,0.7600,0.0000,24.9320,0.3688,0.3600,0.0909,31.7124,0.4054,0.2825,0.2727,24.1202,0.3640,0.3700,0.0727,5.2421,0.1429,0.7600,0.0000,12.2844,0.2274,0.5600,0.0545
accident_3,55,0.7357,0.9118,200,0.8308,400,3.1560,0.6754,0.8098,3.2258,27.3806,0.0685,0.0654,0.0000,0.0000,43.2142,6.2789,14.6565,0.4688,4.3556,0.9166,0.2830,8.8527,32.9253,0.0000,1.5626,0.0000,0.0000,34.8939,6.6010,7.4685,2.1409,0.7029,0.7297,0.7255,0.7004,0.6211,0.7352,0.7349,0.7357,0.7357,0.5087,0.7088,0.6748,0.7307,0.0605,0.0516,0.0216,0.0094,0.2791,0.0276,0.0390,0.0002,0.0267,0.3624,0.1485,0.1635,0.0060,5.2557,0.2794,1.0000,0.0931,0.9375,0.0000,5.0000,0.1259,0.7700,0.0000,10.0000,0.1623,0.6200,0.0545,5.7062,0.1322,0.7475,0.0000,15.0859,0.1899,0.4950,0.0909,26.9626,0.3052,0.2850,0.2909,53.8470,0.7039,0.0850,0.4000,5.7062,0.1322,0.7475,0.0000,15.8629,0.1928,0.4775,0.1273
accident_4,55,0.6392,0.8834,240,0.8527,400,0.5884,1.6803,0.9496,1.3589,17.3274,0.0834,2.4080,0.9130,0.0000,45.1715,24.5201,0.0023,4.9970,0.0000,0.9930,2.0813,5.4973,18.8513,0.2304,7.7534,1.1757,0.0000,50.8182,6.9908,0.0000,5.6085,0.6380,0.6384,0.6300,0.6264,0.5913,0.6384,0.6217,0.6352,0.6392,0.3826,0.5784,0.6392,0.6091,0.0882,0.0769,0.0447,0.0278,0.2090,0.0128,0.0461,0.0000,0.0362,0.3416,0.2242,0.0093,0.0380,5.3518,0.3115,1.0000,0.0886,0.9025,0.0000,5.0000,0.1261,0.6975,0.0000,10.0000,0.2121,0.5600,0.0000,12.9096,0.2365,0.5000,0.0000,23.7470,0.3610,0.3350,0.0909,33.0574,0.4525,0.2375,0.2364,28.3178,0.4009,0.2850,0.1273,7.4756,0.1854,0.6200,0.0000,11.6715,0.2228,0.5250,0.0000
accident_5,55,0.4632,0.5879,120,0.7971,400,0.0122,0.9889,19.3722,0.0483,0.0000,21.6821,0.0000,0.5085,5.6166,22.9727,5.3785,19.0525,4.3676,0.5430,2.3114,14.1033,0.0000,0.0000,12.6357,0.0000,0.1614,5.8556,30.3566,6.5894,19.3205,8.1230,0.4631,0.4593,0.3855,0.4632,0.4632,0.3979,0.4632,0.4608,0.4293,0.3634,0.4544,0.3906,0.4439,0.0776,0.0516,0.1119,0.0003,0.0804,0.1334,0.0066,0.0002,0.0000,0.1478,0.0917,0.0979,0.0121,5.5280,0.3764,1.0000,0.1702,0.9425,0.0000,5.0000,0.2397,0.8275,0.0000,10.0000,0.2508,0.7175,0.0182,9.1997,0.2492,0.7350,0.0000,22.6637,0.3034,0.4675,0.0909,34.9400,0.4117,0.2900,0.2909,21.8061,0.3002,0.4825,0.0727,4.4063,0.2216,0.8425,0.0000,14.2409,0.2620,0.6275,0.0364
accident_6,55,0.4433,0.6949,240,0.8383,400,0.9273,3.9771,0.9365,2.5820,37.5877,16.2519,2.7308,0.0740,0.0202,11.3789,19.4047,0.2718,3.8570,7.9319,2.3803,3.6987,5.8438,11.2030,5.4019,7.0696,0.0356,0.7127,26.7460,17.5029,0.9835,10.4903,0.4336,0.4342,0.4357,0.4290,0.4280,0.3781,0.4201,0.4428,0.4431,0.3869,0.3931,0.4408,0.4198,0.1022,0.1083,0.0447,0.0007,0.2253,0.1691,0.0655,0.0020,0.0109,0.1147,0.1495,0.0093,0.0129,5.5480,0.3848,1.0000,0.0924,0.9275,0.0000,5.0000,0.2159,0.7675,0.0000,10.0000,0.2794,0.6625,0.0000,12.2738,0.2844,0.6200,0.0000,26.2346,0.3593,0.3825,0.0909,36.0682,0.5023,0.2650,0.2545,28.7299,0.3739,0.3475,0.1091,5.2414,0.2258,0.7625,0.0000,11.2348,0.2823,0.6400,0.0000
accident_7,55,0.4910,0.7111,160,0.8096,400,0.0988,16.9223,0.8263,0.0000,0.0000,21.3962,4.1457,0.3385,0.0001,39.8376,7.3271,2.5332,6.5741,0.0000,15.1012,0.3432,0.0000,0.0000,7.5686,10.0614,2.0322,0.0000,44.6441,2.6824,2.5199,15.0470,0.4910,0.4518,0.4867,0.4910,0.4910,0.4229,0.4664,0.4890,0.4910,0.3377,0.4682,0.4819,0.4466,0.0476,0.1310,0.0216,0.0000,0.1187,0.1502,0.0082,0.0000,0.0362,0.2074,0.0881,0.0246,0.0380,5.5004,0.3680,1.0000,0.1164,0.9100,0.0000,5.0000,0.2141,0.7700,0.0000,10.0000,0.2393,0.6475,0.0182,7.0325,0.2199,0.7175,0.0000,21.9204,0.3512,0.4325,0.0909,34.3472,0.4751,0.2900,0.2909,21.9204,0.3512,0.4325,0.0909,7.0325,0.2199,0.7175,0.0000,11.8377,0.2498,0.6100,0.0364
accident_8,55,0.5345,0.7226,140,0.8226,400,10.5180,0.4309,1.3151,0.0568,33.1138,7.7112,11.3453,5.7869,0.0020,8.8981,8.4568,0.5405,11.8245,4.5968,1.4224,4.3142,0.8666,23.4175,1.9216,10.2016,11.6522,0.0754,12.5283,3.7962,2.2890,22.9182,0.5179,0.5262,0.5275,0.5344,0.4859,0.5130,0.4975,0.5035,0.5345,0.4935,0.5143,0.5326,0.4814,0.1668,0.0381,0.0590,0.0117,0.3104,0.1179,0.1466,0.0235,0.0500,0.1054,0.1081,0.0246,0.0633,5.4569,0.3475,1.0000,0.1041,0.9000,0.0000,5.0000,0.2315,0.7600,0.0000,10.0000,0.2384,0.6500,0.0364,6.8421,0.2329,0.7200,0.0000,19.8565,0.2842,0.4575,0.0909,33.1039,0.3961,0.2675,0.2545,26.8764,0.3397,0.3450,0.1273,3.7288,0.1925,0.7900,0.0000,13.1506,0.2496,0.5850,0.0364
accident_9,55,0.5558,0.6706,160,0.8159,400,0.3825,0.0000,0.8464,2.7937,33.6055,0.0000,0.0000,0.0000,0.0000,48.2547,10.4880,2.1900,1.4391,0.6534,0.0000,3.6104,4.6747,30.7086,0.0000,0.0000,0.0000,0.0000,51.8052,4.0011,2.5192,2.0275,0.5494,0.5558,0.5498,0.5377,0.4828,0.5558,0.5558,0.5558,0.5558,0.3802,0.5181,0.5494,0.5481,0.0675,0.0698,0.0447,0.0007,0.2863,0.0613,0.0428,0.0002,0.0267,0.2984,0.1471,0.0450,0.0129,5.4356,0.3411,1.0000,0.0564,0.8950,0.0000,5.0000,0.1826,0.6825,0.0000,10.0000,0.2815,0.5750,0.0182,6.0433,0.2051,0.6575,0.0000,24.1520,0.3732,0.3700,0.0909,31.1082,0.4109,0.2900,0.2909,23.3526,0.3646,0.3800,0.0727,5.9433,0.2038,0.6600,0.0000,10.2103,0.2834,0.5725,0.0182
accident_10,55,0.3219,0.4283,160,0.7709,400,11.6464,2.0887,2.0392,0.3490,10.5107,7.2781,8.8292,0.0000,0.1858,26.4123,22.4265,5.9600,2.2740,0.0000,3.5120,2.4522,0.0000,4.1158,0.0000,8.8478,0.0000,1.6389,49.3530,15.7363,8.9957,5.3481,0.3219,0.3183,0.3142,0.3204,0.3206,0.3048,0.3064,0.3219,0.3210,0.2507,0.2930,0.3115,0.3144,0.1018,0.0595,0.0322,0.0003,0.1372,0.0743,0.0790,0.0002,0.0118,0.1252,0.1201,0.0450,0.0066,5.6696,0.4397,1.0000,0.1964,0.9625,0.0000,5.0000,0.2844,0.8575,0.0000,10.0000,0.2917,0.7500,0.0364,8.2184,0.2878,0.7900,0.0000,24.5944,0.3671,0.4775,0.0727,39.3566,0.5112,0.2925,0.2909,24.5944,0.3671,0.4775,0.0727,3.1861,0.2441,0.9000,0.0000,11.4251,0.2954,0.7225,0.0364
accident_11,55,0.4755,0.6939,200,0.8133,400,34.0536,0.2363,0.0000,3.4104,10.2794,13.2191,5.0101,0.2563,0.0000,19.2257,2.7409,7.2588,4.3094,14.3393,1.0810,0.0000,4.1365,0.0000,7.7727,17.7164,1.2240,0.0000,32.3059,0.6522,8.5053,12.2666,0.4473,0.4726,0.4755,0.4589,0.4755,0.4207,0.4283,0.4747,0.4755,0.4102,0.4723,0.4520,0.4515,0.1923,0.0845,0.0063,0.0000,0.2052,0.1307,0.1446,0.0000,0.0381,0.1536,0.0642,0.0696,0.0203,5.5162,0.3729,1.0000,0.1547,0.9475,0.0182,5.0000,0.1673,0.8025,0.0182,10.0000,0.2255,0.6600,0.0364,0.6747,0.1437,0.9600,0.0000,24.6830,0.3501,0.4050,0.0909,37.1722,0.4829,0.2550,0.2545,36.9069,0.4787,0.2575,0.2364,0.6747,0.1437,0.9600,0.0000,11.7844,0.2520,0.6200,0.0545
